time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.fix_quality,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/20/13:58:41.122345,110,68321,0,GPS1_Frame,42.337993,-71.0858435,5,16.399999618530273,0.699999988079071,328168.9700859254,4689411.341902357,18:58:41,19,T
2023/02/20/13:58:42.091098,111,68322,0,GPS1_Frame,42.337993166666664,-71.08584366666666,5,16.299999237060547,0.699999988079071,328168.95680938556,4689411.360746224,18:58:42,19,T
2023/02/20/13:58:43.118105,112,68323,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.399999618530273,0.7599999904632568,328168.9293483597,4689411.361419833,18:58:43,19,T
2023/02/20/13:58:44.097163,113,68324,0,GPS1_Frame,42.337993166666664,-71.08584383333333,5,16.399999618530273,0.699999988079071,328168.9430788716,4689411.361083029,18:58:44,19,T
2023/02/20/13:58:45.111957,114,68325,0,GPS1_Frame,42.337993166666664,-71.08584383333333,5,16.399999618530273,0.6800000071525574,328168.9430788716,4689411.361083029,18:58:45,19,T
2023/02/20/13:58:46.083850,115,68326,0,GPS1_Frame,42.337993166666664,-71.08584383333333,5,16.399999618530273,0.7799999713897705,328168.9430788716,4689411.361083029,18:58:46,19,T
2023/02/20/13:58:47.117495,116,68327,0,GPS1_Frame,42.337993166666664,-71.08584366666666,5,16.399999618530273,0.7400000095367432,328168.95680938556,4689411.360746224,18:58:47,19,T
2023/02/20/13:58:48.091668,117,68328,0,GPS1_Frame,42.337993,-71.08584383333333,5,16.399999618530273,0.7900000214576721,328168.94262489956,4689411.342575966,18:58:48,19,T
2023/02/20/13:58:49.117733,118,68329,0,GPS1_Frame,42.337993,-71.08584366666666,5,16.399999618530273,0.7900000214576721,328168.95635541354,4689411.342239161,18:58:49,19,T
2023/02/20/13:58:50.097948,119,68330,0,GPS1_Frame,42.337993,-71.08584366666666,5,16.399999618530273,0.7400000095367432,328168.95635541354,4689411.342239161,18:58:50,19,T
2023/02/20/13:58:51.127733,120,68331,0,GPS1_Frame,42.337993,-71.0858435,5,16.399999618530273,0.7200000286102295,328168.9700859254,4689411.341902357,18:58:51,19,T
2023/02/20/13:58:52.091097,121,68332,0,GPS1_Frame,42.337993,-71.0858435,5,16.399999618530273,0.7200000286102295,328168.9700859254,4689411.341902357,18:58:52,19,T
2023/02/20/13:58:53.120247,122,68333,0,GPS1_Frame,42.33799283333333,-71.0858435,5,16.399999618530273,0.6600000262260437,328168.96963195346,4689411.323395295,18:58:53,19,T
2023/02/20/13:58:54.096992,123,68334,0,GPS1_Frame,42.337993,-71.0858435,5,16.399999618530273,0.7400000095367432,328168.9700859254,4689411.341902357,18:58:54,19,T
2023/02/20/13:58:55.110904,124,68335,0,GPS1_Frame,42.33799283333333,-71.08584333333333,5,16.399999618530273,1.2100000381469727,328168.9833624654,4689411.323058491,18:58:55,19,T
2023/02/20/13:58:56.085315,125,68336,0,GPS1_Frame,42.337993,-71.08584383333333,5,16.399999618530273,0.75,328168.94262489956,4689411.342575966,18:58:56,19,T
2023/02/20/13:58:57.126066,126,68337,0,GPS1_Frame,42.33799333333333,-71.08584416666666,5,16.299999237060547,0.6800000071525574,328168.91607181996,4689411.380263699,18:58:57,19,T
2023/02/20/13:58:58.085521,127,68338,0,GPS1_Frame,42.33799333333333,-71.08584383333333,5,16.399999618530273,0.699999988079071,328168.9435328436,4689411.37959009,18:58:58,19,T
2023/02/20/13:58:59.127323,128,68339,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.399999618530273,0.7200000286102295,328168.9293483597,4689411.361419833,18:58:59,19,T
2023/02/20/13:59:00.089324,129,68340,0,GPS1_Frame,42.337993166666664,-71.08584383333333,5,16.399999618530273,0.699999988079071,328168.9430788716,4689411.361083029,18:59:0,19,T
2023/02/20/13:59:01.123029,130,68341,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.399999618530273,0.699999988079071,328168.9293483597,4689411.361419833,18:59:1,19,T
2023/02/20/13:59:02.090981,131,68342,0,GPS1_Frame,42.337993166666664,-71.08584416666666,5,16.399999618530273,0.699999988079071,328168.9156178478,4689411.361756638,18:59:2,19,T
2023/02/20/13:59:03.117512,132,68343,0,GPS1_Frame,42.33799333333333,-71.085844,5,16.299999237060547,0.6800000071525574,328168.92980233184,4689411.379926895,18:59:3,19,T
2023/02/20/13:59:04.090911,133,68344,0,GPS1_Frame,42.33799333333333,-71.085844,5,16.299999237060547,0.6800000071525574,328168.92980233184,4689411.379926895,18:59:4,19,T
2023/02/20/13:59:05.111569,134,68345,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,0.6800000071525574,328168.9293483597,4689411.361419833,18:59:5,19,T
2023/02/20/13:59:06.090728,135,68346,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,0.699999988079071,328168.9293483597,4689411.361419833,18:59:6,19,T
2023/02/20/13:59:07.111225,136,68347,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,0.699999988079071,328168.9293483597,4689411.361419833,18:59:7,19,T
2023/02/20/13:59:08.086648,137,68348,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,0.699999988079071,328168.9293483597,4689411.361419833,18:59:8,19,T
2023/02/20/13:59:09.119928,138,68349,0,GPS1_Frame,42.33799333333333,-71.085844,5,16.299999237060547,0.699999988079071,328168.92980233184,4689411.379926895,18:59:9,19,T
2023/02/20/13:59:10.089354,139,68350,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,1.0399999618530273,328168.9293483597,4689411.361419833,18:59:10,19,T
2023/02/20/13:59:11.121504,140,68351,0,GPS1_Frame,42.337993,-71.08584383333333,5,16.399999618530273,0.7400000095367432,328168.94262489956,4689411.342575966,18:59:11,19,T
2023/02/20/13:59:12.089481,141,68352,0,GPS1_Frame,42.337993,-71.085844,5,16.399999618530273,0.7400000095367432,328168.9288943877,4689411.342912772,18:59:12,19,T
2023/02/20/13:59:13.115181,142,68353,0,GPS1_Frame,42.337993,-71.085844,5,16.399999618530273,0.7400000095367432,328168.9288943877,4689411.342912772,18:59:13,19,T
2023/02/20/13:59:14.087882,143,68354,0,GPS1_Frame,42.337993166666664,-71.085844,5,16.299999237060547,0.7400000095367432,328168.9293483597,4689411.361419833,18:59:14,19,T
