time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:26:13.068172,0,67141,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183901.0,19,T
2023/02/06/07:26:14.067234,0,67142,0,GPS1_FRAME,42.33908,-71.08467333333333,8.1,1.0,328268.33118245576,4689529.680918945,183902.0,19,T
2023/02/06/07:26:15.067598,0,67143,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183903.0,19,T
2023/02/06/07:26:16.066295,0,67144,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183904.0,19,T
2023/02/06/07:26:17.067239,0,67145,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183905.0,19,T
2023/02/06/07:26:18.066704,0,67146,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183906.0,19,T
2023/02/06/07:26:19.066524,0,67147,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183907.0,19,T
2023/02/06/07:26:20.066365,0,67148,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183908.0,19,T
2023/02/06/07:26:21.067175,0,67149,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183909.0,19,T
2023/02/06/07:26:22.067196,0,67150,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183910.0,19,T
2023/02/06/07:26:23.066449,0,67151,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183911.0,19,T
2023/02/06/07:26:24.066177,0,67152,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183912.0,19,T
2023/02/06/07:26:25.068596,0,67153,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183913.0,19,T
2023/02/06/07:26:26.067753,0,67154,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183914.0,19,T
2023/02/06/07:26:27.066248,0,67155,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183915.0,19,T
2023/02/06/07:26:28.065830,0,67156,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183916.0,19,T
2023/02/06/07:26:29.071220,0,67157,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183917.0,19,T
2023/02/06/07:26:30.066595,0,67158,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183918.0,19,T
2023/02/06/07:26:31.066322,0,67159,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183919.0,19,T
2023/02/06/07:26:32.066324,0,67160,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183920.0,19,T
2023/02/06/07:26:33.088900,0,67161,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183921.0,19,T
2023/02/06/07:26:34.089474,0,67162,0,GPS1_FRAME,42.33908,-71.08467333333333,8.2,1.0,328268.33118245576,4689529.680918945,183922.0,19,T
