time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/07:38:05.492611,0,67865,0,GPS1_FRAME,42.339166666666664,-71.08481666666667,9.4,1.0,328256.75910065346,4689539.594092703,185105.0,19,T
2023/02/06/07:38:06.492657,0,67866,0,GPS1_FRAME,42.33917,-71.08482166666667,9.4,1.0,328256.3562681775,4689539.974333204,185106.0,19,T
2023/02/06/07:38:07.493172,0,67867,0,GPS1_FRAME,42.339175,-71.08482833333333,9.4,1.0,328255.8206708138,4689540.543010788,185107.0,19,T
2023/02/06/07:38:08.493537,0,67868,0,GPS1_FRAME,42.33917833333334,-71.084835,9.4,1.0,328255.28053591365,4689540.926617774,185108.0,19,T
2023/02/06/07:38:09.492465,0,67869,0,GPS1_FRAME,42.33918333333333,-71.08484,9.4,1.0,328254.88224123325,4689541.491929004,185109.0,19,T
2023/02/06/07:38:10.492140,0,67870,0,GPS1_FRAME,42.33918666666667,-71.084845,9.4,1.0,328254.479408968,4689541.872169619,185110.0,19,T
2023/02/06/07:38:11.491939,0,67871,0,GPS1_FRAME,42.33919,-71.08485,9.4,1.0,328254.076576749,4689542.252410258,185111.0,19,T
2023/02/06/07:38:12.492512,0,67872,0,GPS1_FRAME,42.339193333333334,-71.084855,9.4,1.0,328253.67374457396,4689542.632650921,185112.0,19,T
2023/02/06/07:38:13.499646,0,67873,0,GPS1_FRAME,42.339198333333336,-71.08486166666667,9.5,1.0,328253.13814763643,4689543.201328725,185113.0,19,T
2023/02/06/07:38:14.492787,0,67874,0,GPS1_FRAME,42.33920166666667,-71.08486666666667,9.5,1.0,328252.73531556793,4689543.581569446,185114.0,19,T
2023/02/06/07:38:15.492710,0,67875,0,GPS1_FRAME,42.339205,-71.08487166666667,9.5,1.0,328252.3324835433,4689543.961810192,185115.0,19,T
2023/02/06/07:38:16.493711,0,67876,0,GPS1_FRAME,42.33920833333333,-71.08487833333334,9.4,1.0,328251.79234909534,4689544.345417463,185116.0,19,T
2023/02/06/07:38:17.493830,0,67877,0,GPS1_FRAME,42.339211666666664,-71.08488333333334,9.4,1.0,328251.389517166,4689544.725658265,185117.0,19,T
2023/02/06/07:38:18.492696,0,67878,0,GPS1_FRAME,42.339215,-71.08488833333334,9.4,1.0,328250.9866852809,4689545.105899093,185118.0,19,T
2023/02/06/07:38:19.494061,0,67879,0,GPS1_FRAME,42.339218333333335,-71.08489333333333,9.5,1.0,328250.5838534397,4689545.486139946,185119.0,19,T
2023/02/06/07:38:20.493200,0,67880,0,GPS1_FRAME,42.33922333333334,-71.08489833333333,9.5,1.0,328250.18555941107,4689546.051451467,185120.0,19,T
2023/02/06/07:38:21.492327,0,67881,0,GPS1_FRAME,42.33922666666667,-71.084905,9.5,1.0,328249.6454252413,4689546.435058912,185121.0,19,T
