time,.Header.seq,.Header.stamp.secs,.Header.stamp.nsecs,.Header.frame_id,.Latitude,.Longitude,.Altitude,.HDOP,.UTM_easting,.UTM_northing,.UTC,.Zone,.Letter
2023/02/06/08:23:08.434351,0,69842,0,GPS1_FRAME,42.33922,-71.08879166666667,27.1,0.9,327929.43794414366,4689553.552884442,192402.0,19,T
2023/02/06/08:23:09.434961,0,69843,0,GPS1_FRAME,42.33922666666667,-71.08879833333333,27.0,0.9,327928.90691931243,4689554.3066585185,192403.0,19,T
2023/02/06/08:23:10.433417,0,69844,0,GPS1_FRAME,42.33923333333333,-71.088805,27.1,0.9,327928.37589459954,4689555.060432639,192404.0,19,T
2023/02/06/08:23:11.435093,0,69845,0,GPS1_FRAME,42.33924,-71.08881,27.0,0.9,327927.98217243585,4689555.810833947,192405.0,19,T
2023/02/06/08:23:12.467997,0,69846,0,GPS1_FRAME,42.33924833333333,-71.088815,27.1,0.9,327927.5929966655,4689556.746305966,192406.0,19,T
2023/02/06/08:23:13.436423,0,69847,0,GPS1_FRAME,42.33925833333333,-71.08882166666666,26.8,0.9,327927.0710649323,4689557.870221577,192407.0,19,T
2023/02/06/08:23:14.470454,0,69848,0,GPS1_FRAME,42.33926833333334,-71.088825,26.3,0.9,327926.82373811485,4689558.987391462,192408.0,19,T
2023/02/06/08:23:15.435180,0,69849,0,GPS1_FRAME,42.33927666666666,-71.08883,26.3,0.9,327926.4345627051,4689559.922863559,192409.0,19,T
2023/02/06/08:23:16.434511,0,69850,0,GPS1_FRAME,42.339285,-71.08883833333333,26.0,0.9,327925.7707827438,4689560.865081486,192410.0,19,T
2023/02/06/08:23:17.435730,0,69851,0,GPS1_FRAME,42.33929333333333,-71.088845,25.6,0.9,327925.24430528027,4689561.803926565,192411.0,19,T
2023/02/06/08:23:18.436527,0,69852,0,GPS1_FRAME,42.3393,-71.08885,25.3,0.9,327924.8505838775,4689562.5543280775,192412.0,19,T
2023/02/06/08:23:19.435096,0,69853,0,GPS1_FRAME,42.339306666666666,-71.08885666666667,24.9,0.9,327924.319560278,4689563.308102546,192413.0,19,T
2023/02/06/08:23:20.434371,0,69854,0,GPS1_FRAME,42.339315,-71.08886333333334,24.6,0.9,327923.7930832119,4689564.246947751,192414.0,19,T
2023/02/06/08:23:21.435275,0,69855,0,GPS1_FRAME,42.33932333333333,-71.08887166666666,24.5,0.9,327923.12930404884,4689565.189165955,192415.0,19,T
2023/02/06/08:23:22.434818,0,69856,0,GPS1_FRAME,42.339331666666666,-71.08887833333333,24.5,0.9,327922.6028272982,4689566.128011259,192416.0,19,T
2023/02/06/08:23:23.434743,0,69857,0,GPS1_FRAME,42.33934,-71.088885,24.4,0.9,327922.0763506963,4689567.066856608,192417.0,19,T
2023/02/06/08:23:24.435006,0,69858,0,GPS1_FRAME,42.339348333333334,-71.08889,24.2,0.9,327921.68717643863,4689568.002329014,192418.0,19,T
2023/02/06/08:23:25.434944,0,69859,0,GPS1_FRAME,42.33935666666667,-71.08889666666667,24.2,0.9,327921.16070011596,4689568.941174444,192419.0,19,T
2023/02/06/08:23:26.435020,0,69860,0,GPS1_FRAME,42.339365,-71.08890166666667,24.2,0.9,327920.7715261013,4689569.876646909,192420.0,19,T
2023/02/06/08:23:27.435133,0,69861,0,GPS1_FRAME,42.339371666666665,-71.08890833333334,24.1,0.9,327920.2405035397,4689570.630421723,192421.0,19,T
2023/02/06/08:23:28.434435,0,69862,0,GPS1_FRAME,42.339378333333336,-71.08891333333334,24.1,0.9,327919.8467832267,4689571.380823556,192422.0,19,T
2023/02/06/08:23:29.469176,0,69863,0,GPS1_FRAME,42.33938333333333,-71.088925,24.6,0.9,327918.8993079882,4689571.959646881,192423.0,19,T
2023/02/06/08:23:30.470164,0,69864,0,GPS1_FRAME,42.33938833333333,-71.088935,25.1,0.9,327918.0891350115,4689572.535097274,192424.0,19,T
2023/02/06/08:23:31.435019,0,69865,0,GPS1_FRAME,42.339393333333334,-71.088945,25.5,0.9,327917.2789621664,4689573.110547767,192425.0,19,T
2023/02/06/08:23:32.468580,0,69866,0,GPS1_FRAME,42.339398333333335,-71.088955,26.1,0.9,327916.46878945286,4689573.685998356,192426.0,19,T
2023/02/06/08:23:33.435141,0,69867,0,GPS1_FRAME,42.33940666666667,-71.08896166666666,26.2,0.9,327915.9423142938,4689574.62484422,192427.0,19,T
2023/02/06/08:23:34.434684,0,69868,0,GPS1_FRAME,42.339416666666665,-71.08896666666666,26.1,0.9,327915.5576879835,4689575.745387705,192428.0,19,T
2023/02/06/08:23:35.434387,0,69869,0,GPS1_FRAME,42.339425,-71.08897,25.9,0.9,327915.3058171732,4689576.677487405,192429.0,19,T
2023/02/06/08:23:36.435394,0,69870,0,GPS1_FRAME,42.33943333333333,-71.08897333333333,25.7,0.9,327915.05394644325,4689577.609587118,192430.0,19,T
2023/02/06/08:23:37.470185,0,69871,0,GPS1_FRAME,42.339441666666666,-71.08897833333333,25.5,0.9,327914.66477379657,4689578.545059973,192431.0,19,T
2023/02/06/08:23:38.436142,0,69872,0,GPS1_FRAME,42.33945,-71.08898166666667,25.3,0.9,327914.4129032331,4689579.477159716,192432.0,19,T
2023/02/06/08:23:39.436609,0,69873,0,GPS1_FRAME,42.33945833333333,-71.088985,25.3,0.9,327914.1610327499,4689580.409259469,192433.0,19,T
2023/02/06/08:23:40.435045,0,69874,0,GPS1_FRAME,42.339465,-71.08899,25.1,0.9,327913.76731370005,4689581.159661691,192434.0,19,T
2023/02/06/08:23:41.435123,0,69875,0,GPS1_FRAME,42.33947166666667,-71.08899666666667,25.0,0.9,327913.236292812,4689581.913437097,192435.0,19,T
2023/02/06/08:23:42.435714,0,69876,0,GPS1_FRAME,42.33947833333333,-71.08900166666666,24.9,0.9,327912.8425739554,4689582.663839377,192436.0,19,T
2023/02/06/08:23:43.434520,0,69877,0,GPS1_FRAME,42.339486666666666,-71.08900666666666,24.9,0.9,327912.45340193063,4689583.599312378,192437.0,19,T
2023/02/06/08:23:44.434322,0,69878,0,GPS1_FRAME,42.33949333333333,-71.08901,24.7,0.9,327912.1969851407,4689584.346341525,192438.0,19,T
2023/02/06/08:23:45.434942,0,69879,0,GPS1_FRAME,42.33950166666666,-71.089015,24.6,0.9,327911.80781331105,4689585.281814571,192439.0,19,T
2023/02/06/08:23:46.434849,0,69880,0,GPS1_FRAME,42.339508333333335,-71.08902,24.5,0.9,327911.4140948204,4689586.032216945,192440.0,19,T
2023/02/06/08:23:47.434837,0,69881,0,GPS1_FRAME,42.33951833333333,-71.089025,24.2,0.9,327911.0294699893,4689587.1527607385,192441.0,19,T
2023/02/06/08:23:48.435033,0,69882,0,GPS1_FRAME,42.339526666666664,-71.08903,24.1,0.9,327910.64029849716,4689588.088233862,192442.0,19,T
2023/02/06/08:23:49.435057,0,69883,0,GPS1_FRAME,42.339533333333335,-71.089035,24.0,0.9,327910.246580309,4689588.838636313,192443.0,19,T
2023/02/06/08:23:50.434892,0,69884,0,GPS1_FRAME,42.33954166666667,-71.08904,23.9,0.9,327909.8574090302,4689589.774109487,192444.0,19,T
2023/02/06/08:23:51.434375,0,69885,0,GPS1_FRAME,42.33955,-71.08904666666666,23.8,0.9,327909.3309361064,4689590.712955929,192445.0,19,T
2023/02/06/08:23:52.434435,0,69886,0,GPS1_FRAME,42.339558333333336,-71.08905166666666,23.7,0.9,327908.94176507054,4689591.648429166,192446.0,19,T
2023/02/06/08:23:53.434942,0,69887,0,GPS1_FRAME,42.339565,-71.08905666666666,23.6,0.9,327908.5480472888,4689592.398831726,192447.0,19,T
2023/02/06/08:23:54.435125,0,69888,0,GPS1_FRAME,42.339573333333334,-71.08906166666667,23.5,0.9,327908.15887646424,4689593.3343050135,192448.0,19,T
2023/02/06/08:23:55.434462,0,69889,0,GPS1_FRAME,42.33958166666667,-71.08906666666667,23.5,0.9,327907.76970575424,4689594.269778326,192449.0,19,T
2023/02/06/08:23:56.433407,0,69890,0,GPS1_FRAME,42.33958833333333,-71.08907,23.5,0.9,327907.51328993554,4689595.01680768,192450.0,19,T
2023/02/06/08:23:57.434970,0,69891,0,GPS1_FRAME,42.339596666666665,-71.08907333333333,23.4,0.9,327907.2614210767,4689595.948907749,192451.0,19,T
2023/02/06/08:23:58.433820,0,69892,0,GPS1_FRAME,42.339605,-71.08907833333333,23.4,0.9,327906.87225065415,4689596.884381124,192452.0,19,T
